Painel,YOLO_Output
painel_01,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.31}, {""objeto"": ""Defective"", ""confianca"": 0.27}]}"
painel_02,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.26}]}"
painel_03,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_04,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.42}, {""objeto"": ""Defective"", ""confianca"": 0.39}]}"
painel_05,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.56}, {""objeto"": ""Defective"", ""confianca"": 0.55}]}"
painel_06,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_07,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.45}, {""objeto"": ""Dust"", ""confianca"": 0.27}]}"
painel_08,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.62}, {""objeto"": ""Defective"", ""confianca"": 0.39}]}"
painel_09,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.35}, {""objeto"": ""Defective"", ""confianca"": 0.27}]}"
painel_10,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Dust"", ""confianca"": 0.35}, {""objeto"": ""Defective"", ""confianca"": 0.27}]}"
painel_11,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.3}]}"
painel_12,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.35}, {""objeto"": ""Dust"", ""confianca"": 0.31}]}"
painel_13,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_14,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.34}]}"
painel_15,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Non Defective"", ""confianca"": 0.7}]}"
painel_16,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Non Defective"", ""confianca"": 0.31}]}"
painel_17,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_18,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Snow"", ""confianca"": 0.27}]}"
painel_19,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Non Defective"", ""confianca"": 0.38}]}"
painel_20,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.63}]}"
painel_21,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_22,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_23,"{""status"": ""clean"", ""msg"": ""Nenhuma anomalia visual detectada.""}"
painel_24,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.77}, {""objeto"": ""Snow"", ""confianca"": 0.46}]}"
painel_25,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.48}]}"
painel_26,"{""status"": ""detection_found"", ""detalhes"": [{""objeto"": ""Defective"", ""confianca"": 0.63}, {""objeto"": ""Dust"", ""confianca"": 0.37}]}"
